name,email,password,role
student1,student1@example.local,Ai@student2026,user
student2,student2@example.local,Ai@student2026,user
student3,student3@example.local,Ai@student2026,user
student4,student4@example.local,Ai@student2026,user
student5,student5@example.local,Ai@student2026,user
student6,student6@example.local,Ai@student2026,user
student7,student7@example.local,Ai@student2026,user
student8,student8@example.local,Ai@student2026,user
student9,student9@example.local,Ai@student2026,user
student10,student10@example.local,Ai@student2026,user
student11,student11@example.local,Ai@student2026,user
student12,student12@example.local,Ai@student2026,user
